[ 2026-02-15 17:22:33 | 0.0.0.0:56811 | INFO ] 🧩 Model added for round 93 (7/12) from ['0.0.0.0:43967']
[ 2026-02-15 17:22:33 | 0.0.0.0:41291 | INFO ] 🧩 Model added for round 93 (7/7) from ['0.0.0.0:36253']
[ 2026-02-15 17:22:33 | 0.0.0.0:48057 | INFO ] 🧩 Model added for round 93 (3/6) from ['0.0.0.0:41105']
[ 2026-02-15 17:22:33 | 0.0.0.0:36253 | INFO ] 🧩 Model added for round 93 (10/11) from ['0.0.0.0:53195']
[ 2026-02-15 17:22:33 | 0.0.0.0:46071 | INFO ] 🔬 Evaluating...
[ 2026-02-15 17:22:34 | 0.0.0.0:45421 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-15 17:22:34 | 0.0.0.0:55477 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-15 17:22:34 | 0.0.0.0:46071 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.2648445665836334, 'test_acc': 0.9514563083648682, 'test_precision': 0.8023476600646973, 'test_recall': 0.7893261909484863, 'test_f1': 0.7947555184364319}
[ 2026-02-15 17:22:34 | 0.0.0.0:59667 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-15 17:22:34 | 0.0.0.0:35715 | INFO ] 🧩 Model added for round 93 (7/10) from ['0.0.0.0:55885']
[ 2026-02-15 17:22:34 | 0.0.0.0:42721 | INFO ] 📤 Sending model to 7 direct neighbors: ['0.0.0.0:56811', '0.0.0.0:33141', '0.0.0.0:45321', '0.0.0.0:50457', '0.0.0.0:37669', '0.0.0.0:36643', '0.0.0.0:53873']
[ 2026-02-15 17:22:35 | 0.0.0.0:46071 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 17:22:35 | 0.0.0.0:58189 | INFO ] 🧩 Model added for round 93 (6/9) from ['0.0.0.0:60407']
[ 2026-02-15 17:22:35 | 0.0.0.0:45421 | INFO ] 🔬 Evaluating...
[ 2026-02-15 17:22:35 | 0.0.0.0:55477 | INFO ] 🔬 Evaluating...
[ 2026-02-15 17:22:35 | 0.0.0.0:41291 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-15 17:22:35 | 0.0.0.0:58189 | INFO ] 🧩 Model added for round 93 (7/9) from ['0.0.0.0:60823']
