[ 2026-02-15 07:26:06 | 0.0.0.0:45781 | INFO ] 🧩 Model added (2/4) from ['0.0.0.0:48431']
[ 2026-02-15 07:26:07 | 0.0.0.0:48431 | INFO ] 📤 Sending model to 5 direct neighbors: ['0.0.0.0:48251', '0.0.0.0:57349', '0.0.0.0:49453', '0.0.0.0:45781', '0.0.0.0:47473']
[ 2026-02-15 07:26:07 | 0.0.0.0:57349 | INFO ] 🧩 Model added (2/5) from ['0.0.0.0:48431']
[ 2026-02-15 07:26:08 | 0.0.0.0:45781 | INFO ] 📤 Sending model to 3 direct neighbors: ['0.0.0.0:49453', '0.0.0.0:48431', '0.0.0.0:33489']
[ 2026-02-15 07:26:08 | 0.0.0.0:33489 | INFO ] 📤 Sending model to 1 direct neighbors: ['0.0.0.0:45781']
[ 2026-02-15 07:26:08 | 0.0.0.0:33489 | INFO ] 📤 Sending model to 1 direct neighbors: ['0.0.0.0:45781']
[ 2026-02-15 07:26:08 | 0.0.0.0:45781 | INFO ] 🧩 Model added (3/4) from ['0.0.0.0:33489']
[ 2026-02-15 07:26:09 | 0.0.0.0:37071 | INFO ] 📤 Sending model to 1 direct neighbors: ['0.0.0.0:46073']
[ 2026-02-15 07:26:09 | 0.0.0.0:46073 | INFO ] 🧩 Model added (2/3) from ['0.0.0.0:37071']
[ 2026-02-15 07:26:09 | 0.0.0.0:46073 | INFO ] 📤 Sending model to 2 direct neighbors: ['0.0.0.0:37071', '0.0.0.0:52613']
[ 2026-02-15 07:26:10 | 0.0.0.0:57349 | INFO ] 📤 Sending model to 4 direct neighbors: ['0.0.0.0:48251', '0.0.0.0:37875', '0.0.0.0:52613', '0.0.0.0:48431']
[ 2026-02-15 07:26:10 | 0.0.0.0:48431 | INFO ] 🧩 Model added (2/6) from ['0.0.0.0:57349']
[ 2026-02-15 07:26:14 | 0.0.0.0:48431 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-15 07:26:14 | 0.0.0.0:48431 | INFO ] 🔬 Evaluating...
[ 2026-02-15 07:26:14 | 0.0.0.0:48431 | INFO ] 📈 Evaluated. Results: {'test_loss': 26.251131057739258, 'test_acc': 0.2150537669658661, 'test_precision': 0.07545581459999084, 'test_recall': 0.4000000059604645, 'test_f1': 0.12199999392032623}
[ 2026-02-15 07:26:14 | 0.0.0.0:48431 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 07:26:14 | 0.0.0.0:48431 | WARNING ] ⚠️ Aggregation list empty after timeout. Using local backup.
[ 2026-02-15 07:26:14 | 0.0.0.0:48431 | INFO ] 🎉 Round 91 of 100 finished.
[ 2026-02-15 07:26:14 | 0.0.0.0:48431 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 48
[ 2026-02-15 07:26:14 | 0.0.0.0:48431 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-15 07:26:14 | 0.0.0.0:48431 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 07:26:14 | 0.0.0.0:48431 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-15 07:26:14 | 0.0.0.0:48431 | INFO ] 🎓 Training step done.
[ 2026-02-15 07:26:14 | 0.0.0.0:48431 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 07:26:14 | 0.0.0.0:48431 | INFO ] ✅ [FORCE] Local model added. (1/6)
[ 2026-02-15 07:26:14 | 0.0.0.0:45781 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-15 07:26:14 | 0.0.0.0:45781 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-15 07:26:14 | 0.0.0.0:45781 | INFO ] 🔬 Evaluating...
[ 2026-02-15 07:26:14 | 0.0.0.0:45781 | INFO ] 🔬 Evaluating...
[ 2026-02-15 07:26:14 | 0.0.0.0:45781 | INFO ] 📈 Evaluated. Results: {'test_loss': 18.824254989624023, 'test_acc': 0.4962121248245239, 'test_precision': 0.2680218517780304, 'test_recall': 0.273616760969162, 'test_f1': 0.2575019299983978}
[ 2026-02-15 07:26:14 | 0.0.0.0:45781 | INFO ] 📈 Evaluated. Results: {'test_loss': 18.824254989624023, 'test_acc': 0.4962121248245239, 'test_precision': 0.2680218517780304, 'test_recall': 0.273616760969162, 'test_f1': 0.2575019299983978}
[ 2026-02-15 07:26:14 | 0.0.0.0:45781 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 07:26:14 | 0.0.0.0:45781 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 07:26:14 | 0.0.0.0:45781 | WARNING ] ⚠️ Aggregation list empty after timeout. Using local backup.
[ 2026-02-15 07:26:15 | 0.0.0.0:45781 | INFO ] 🎉 Round 64 of 100 finished.
[ 2026-02-15 07:26:15 | 0.0.0.0:45781 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-02-15 07:26:15 | 0.0.0.0:45781 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-15 07:26:15 | 0.0.0.0:45781 | INFO ] ♻️ Proactively processing 1 early models.
[ 2026-02-15 07:26:15 | 0.0.0.0:45781 | INFO ] 🎉 Round 65 of 100 finished.
[ 2026-02-15 07:26:15 | 0.0.0.0:45781 | INFO ] 💤 Skipping training...
[ 2026-02-15 07:26:15 | 0.0.0.0:45781 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 07:26:15 | 0.0.0.0:45781 | INFO ] ✅ [FORCE] Local model added. (1/4)
