[ 2026-05-14 05:20:49 | node_34 | INFO ] Heartbeat timeout for node_29 (404.8237020969391). Removing...
[ 2026-05-14 05:20:49 | node_34 | INFO ] Heartbeat timeout for node (397.48237109184265). Removing...
[ 2026-05-14 05:20:49 | node_34 | INFO ] Heartbeat timeout for node_41 (391.7467803955078). Removing...
[ 2026-05-14 05:20:49 | node_34 | INFO ] Heartbeat timeout for node_25 (410.86766290664673). Removing...
[ 2026-05-14 05:20:49 | node_12 | INFO ] 🎓 Training step done.
[ 2026-05-14 05:20:49 | node_22 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-14 05:20:49 | node_22 | INFO ] ✅ [FORCE] Local model added for round 23. (1/1)
[ 2026-05-14 05:20:49 | node_22 | INFO ] ⚠️ No direct neighbors to send model.
[ 2026-05-14 05:20:49 | node_22 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-14 05:20:49 | node_22 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-14 05:20:49 | node_22 | INFO ] 🤫 Gossip finished.
[ 2026-05-14 05:20:49 | node_22 | INFO ] 🔬 Evaluating...
[ 2026-05-14 05:20:50 | node_22 | INFO ] 📈 Evaluated. Results: {'test_loss': 9.822061538696289, 'test_acc': 0.38499999046325684, 'test_precision': 0.47866690158843994, 'test_recall': 0.3774995803833008, 'test_f1': 0.3249923586845398, 'communication_cost': 0}
[ 2026-05-14 05:20:50 | node_22 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 05:20:50 | node_22 | INFO ] 🎉 Round 24 of 100 finished.
[ 2026-05-14 05:20:50 | node_22 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 9
[ 2026-05-14 05:20:50 | node_22 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 05:20:50 | node | INFO ] Heartbeat timeout for node_45 (303.49123549461365). Removing...
[ 2026-05-14 05:20:50 | node | INFO ] Heartbeat timeout for node_35 (303.29220151901245). Removing...
[ 2026-05-14 05:20:50 | node | INFO ] Heartbeat timeout for node_18 (304.12266087532043). Removing...
[ 2026-05-14 05:20:50 | node_22 | INFO ] 🎓 Training step done.
[ 2026-05-14 05:20:51 | node_25 | INFO ] Heartbeat timeout for node_33 (303.4968101978302). Removing...
[ 2026-05-14 05:20:51 | node_25 | INFO ] Heartbeat timeout for node_44 (302.33778405189514). Removing...
[ 2026-05-14 05:20:51 | node_25 | INFO ] Heartbeat timeout for node_30 (300.07681918144226). Removing...
[ 2026-05-14 05:20:52 | node_38 | INFO ] Heartbeat timeout for node_37 (300.91433596611023). Removing...
[ 2026-05-14 05:20:52 | node_14 | INFO ] Heartbeat timeout for node_10 (372.6104009151459). Removing...
[ 2026-05-14 05:20:52 | node_14 | INFO ] Heartbeat timeout for node_31 (300.24571466445923). Removing...
[ 2026-05-14 05:20:52 | node_14 | INFO ] Heartbeat timeout for node_26 (300.1595423221588). Removing...
[ 2026-05-14 05:20:52 | node_14 | INFO ] Heartbeat timeout for node_7 (300.03106021881104). Removing...
[ 2026-05-14 05:20:52 | node_14 | INFO ] Heartbeat timeout for node_30 (300.63415360450745). Removing...
[ 2026-05-14 05:20:52 | node_14 | INFO ] Heartbeat timeout for node_2 (378.71510791778564). Removing...
[ 2026-05-14 05:20:52 | node_14 | INFO ] Heartbeat timeout for node_13 (377.59415340423584). Removing...
[ 2026-05-14 05:20:52 | node_14 | INFO ] Heartbeat timeout for node_39 (378.9486906528473). Removing...
[ 2026-05-14 05:20:52 | node_19 | INFO ] Heartbeat timeout for node_14 (423.56081676483154). Removing...
[ 2026-05-14 05:20:52 | node_19 | INFO ] Heartbeat timeout for node_43 (422.208304643631). Removing...
[ 2026-05-14 05:20:52 | node_19 | INFO ] Heartbeat timeout for node_5 (404.9330129623413). Removing...
[ 2026-05-14 05:20:52 | node_19 | INFO ] Heartbeat timeout for node_29 (416.33194160461426). Removing...
[ 2026-05-14 05:20:52 | node_19 | INFO ] Heartbeat timeout for node (400.5258150100708). Removing...
[ 2026-05-14 05:20:52 | node_19 | INFO ] Heartbeat timeout for node_41 (405.8804452419281). Removing...
[ 2026-05-14 05:20:52 | node_19 | INFO ] Heartbeat timeout for node_46 (314.1790006160736). Removing...
[ 2026-05-14 05:20:52 | node_19 | INFO ] Heartbeat timeout for node_17 (311.9352169036865). Removing...
[ 2026-05-14 05:20:52 | node_19 | INFO ] Heartbeat timeout for node_23 (313.1903257369995). Removing...
[ 2026-05-14 05:20:52 | node_17 | INFO ] Heartbeat timeout for node_16 (300.7794568538666). Removing...
[ 2026-05-14 05:20:53 | node_44 | INFO ] Heartbeat timeout for node_30 (301.5051817893982). Removing...
[ 2026-05-14 05:20:53 | node_44 | INFO ] Heartbeat timeout for node_33 (304.92517280578613). Removing...
[ 2026-05-14 05:20:53 | node_44 | INFO ] Heartbeat timeout for node_22 (420.11523056030273). Removing...
[ 2026-05-14 05:20:53 | node_44 | INFO ] Heartbeat timeout for node_24 (391.2949426174164). Removing...
[ 2026-05-14 05:20:53 | node_44 | INFO ] Heartbeat timeout for node_29 (408.4218649864197). Removing...
[ 2026-05-14 05:20:53 | node_44 | INFO ] Heartbeat timeout for node_46 (306.4461853504181). Removing...
[ 2026-05-14 05:20:53 | node_44 | INFO ] Heartbeat timeout for node_17 (312.48993587493896). Removing...
[ 2026-05-14 05:20:53 | node_44 | INFO ] Heartbeat timeout for node (401.08053398132324). Removing...
[ 2026-05-14 05:20:53 | node_44 | INFO ] Heartbeat timeout for node_41 (395.3449432849884). Removing...
[ 2026-05-14 05:20:53 | node_44 | INFO ] Heartbeat timeout for node_5 (394.97686409950256). Removing...
[ 2026-05-14 05:20:53 | node_44 | INFO ] Heartbeat timeout for node_43 (417.26327633857727). Removing...
[ 2026-05-14 05:20:53 | node_44 | INFO ] Heartbeat timeout for node_23 (313.74504470825195). Removing...
[ 2026-05-14 05:20:53 | node_35 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-14 05:20:53 | node_35 | INFO ] ✅ [FORCE] Local model added for round 20. (1/2)
[ 2026-05-14 05:20:53 | node_35 | INFO ] 📤 Sending model to 1 direct neighbors: ['node_12']
