[ 2026-03-06 13:53:13 | node_37 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.18526813387870789, 'test_acc': 0.9504132270812988, 'test_precision': 0.9233332872390747, 'test_recall': 0.9596638679504395, 'test_f1': 0.9254318475723267, 'communication_cost': 0}
[ 2026-03-06 13:53:13 | node_24 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:53:13 | node_2 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:53:13 | node_28 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:53:13 | node_20 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:53:13 | node_43 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:53:13 | node_48 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:53:13 | node_23 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:53:13 | node_5 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:53:13 | node_33 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:53:13 | node_49 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:53:13 | node_46 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:53:13 | node_11 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:53:13 | node_26 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:53:13 | node_41 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:53:13 | node_19 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.14266207814216614, 'test_acc': 0.9599999785423279, 'test_precision': 0.970473051071167, 'test_recall': 0.9255244731903076, 'test_f1': 0.9385291934013367, 'communication_cost': 0}
[ 2026-03-06 13:53:13 | node_13 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:53:13 | node_10 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:53:13 | node_6 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:53:13 | node_40 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.6914812922477722, 'test_acc': 0.8828828930854797, 'test_precision': 0.6067424416542053, 'test_recall': 0.6221128106117249, 'test_f1': 0.6103503704071045, 'communication_cost': 0}
[ 2026-03-06 13:53:13 | node_38 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:53:13 | node_39 | INFO ] 🔬 Evaluating...
