[ 2026-02-15 08:40:40 | 0.0.0.0:45597 | INFO ] 📤 Sending model to 3 direct neighbors: ['0.0.0.0:39683', '0.0.0.0:39581', '0.0.0.0:59479']
[ 2026-02-15 08:40:41 | 0.0.0.0:54877 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-15 08:40:41 | 0.0.0.0:54877 | INFO ] 🔬 Evaluating...
[ 2026-02-15 08:40:41 | 0.0.0.0:54877 | INFO ] 📈 Evaluated. Results: {'test_loss': 1.3715050220489502, 'test_acc': 0.9150000214576721, 'test_precision': 0.9241958856582642, 'test_recall': 0.9107409119606018, 'test_f1': 0.9075657725334167}
[ 2026-02-15 08:40:41 | 0.0.0.0:54877 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 08:40:42 | 0.0.0.0:54877 | WARNING ] ⚠️ Aggregation list empty after timeout. Using local backup.
[ 2026-02-15 08:40:42 | 0.0.0.0:54877 | INFO ] 🎉 Round 42 of 100 finished.
[ 2026-02-15 08:40:42 | 0.0.0.0:54877 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 47
[ 2026-02-15 08:40:42 | 0.0.0.0:54877 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-15 08:40:42 | 0.0.0.0:54877 | WARNING ] ⚠️ Aggregation list empty after timeout. Using local backup.
[ 2026-02-15 08:40:42 | 0.0.0.0:59479 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-15 08:40:42 | 0.0.0.0:59479 | INFO ] 🔬 Evaluating...
[ 2026-02-15 08:40:42 | 0.0.0.0:54877 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-15 08:40:42 | 0.0.0.0:54877 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 08:40:42 | 0.0.0.0:54877 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-15 08:40:42 | 0.0.0.0:59479 | INFO ] 📈 Evaluated. Results: {'test_loss': 4.065453052520752, 'test_acc': 0.8700000047683716, 'test_precision': 0.8741125464439392, 'test_recall': 0.8764300346374512, 'test_f1': 0.8683487176895142}
[ 2026-02-15 08:40:42 | 0.0.0.0:59479 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 08:40:42 | 0.0.0.0:45333 | INFO ] 🧩 Model added (2/5) from ['0.0.0.0:54877']
[ 2026-02-15 08:40:42 | 0.0.0.0:54877 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-15 08:40:42 | 0.0.0.0:59479 | WARNING ] ⚠️ Aggregation list empty after timeout. Using local backup.
[ 2026-02-15 08:40:42 | 0.0.0.0:59479 | INFO ] 🎉 Round 65 of 100 finished.
[ 2026-02-15 08:40:42 | 0.0.0.0:59479 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 48
[ 2026-02-15 08:40:42 | 0.0.0.0:59479 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-15 08:40:42 | 0.0.0.0:59479 | WARNING ] ⚠️ Aggregation list empty after timeout. Using local backup.
[ 2026-02-15 08:40:42 | 0.0.0.0:59479 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-15 08:40:42 | 0.0.0.0:48409 | INFO ] 📤 Sending model to 2 direct neighbors: ['0.0.0.0:48049', '0.0.0.0:35331']
[ 2026-02-15 08:40:42 | 0.0.0.0:59479 | WARNING ] ⚠️ Aggregation list empty after timeout. Using local backup.
[ 2026-02-15 08:40:42 | 0.0.0.0:59479 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-15 08:40:42 | 0.0.0.0:54877 | INFO ] 🎓 Training step done.
[ 2026-02-15 08:40:43 | 0.0.0.0:54877 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 08:40:43 | 0.0.0.0:54877 | INFO ] ✅ [FORCE] Local model added. (1/8)
[ 2026-02-15 08:40:43 | 0.0.0.0:59479 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-15 08:40:43 | 0.0.0.0:59479 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-15 08:40:43 | 0.0.0.0:45597 | INFO ] 🧩 Model added (2/4) from ['0.0.0.0:59479']
[ 2026-02-15 08:40:43 | 0.0.0.0:59479 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 08:40:43 | 0.0.0.0:59479 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-15 08:40:43 | 0.0.0.0:59479 | INFO ] 🎓 Training step done.
[ 2026-02-15 08:40:43 | 0.0.0.0:59479 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 08:40:43 | 0.0.0.0:59479 | INFO ] ✅ [FORCE] Local model added. (1/5)
[ 2026-02-15 08:40:43 | 0.0.0.0:44055 | INFO ] 🧩 Model added (2/3) from ['0.0.0.0:54877']
[ 2026-02-15 08:40:43 | 0.0.0.0:44055 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-15 08:40:43 | 0.0.0.0:44055 | INFO ] 🔬 Evaluating...
[ 2026-02-15 08:40:43 | 0.0.0.0:44055 | INFO ] 📈 Evaluated. Results: {'test_loss': 3.970900774002075, 'test_acc': 0.875, 'test_precision': 0.8817471265792847, 'test_recall': 0.8699511885643005, 'test_f1': 0.8688307404518127}
[ 2026-02-15 08:40:43 | 0.0.0.0:44055 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 08:40:43 | 0.0.0.0:44055 | WARNING ] ⚠️ Aggregation list empty after timeout. Using local backup.
[ 2026-02-15 08:40:43 | 0.0.0.0:44055 | INFO ] 🎉 Round 41 of 100 finished.
[ 2026-02-15 08:40:43 | 0.0.0.0:44055 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 46
[ 2026-02-15 08:40:43 | 0.0.0.0:44055 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-15 08:40:43 | 0.0.0.0:44055 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 08:40:44 | 0.0.0.0:45333 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-15 08:40:44 | 0.0.0.0:45333 | INFO ] 🔬 Evaluating...
[ 2026-02-15 08:40:44 | 0.0.0.0:44055 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-15 08:40:44 | 0.0.0.0:45333 | INFO ] 📈 Evaluated. Results: {'test_loss': 1.6112290620803833, 'test_acc': 0.9449999928474426, 'test_precision': 0.9403195381164551, 'test_recall': 0.9495704770088196, 'test_f1': 0.9416283965110779}
[ 2026-02-15 08:40:44 | 0.0.0.0:45333 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 08:40:44 | 0.0.0.0:45333 | WARNING ] ⚠️ Aggregation list empty after timeout. Using local backup.
[ 2026-02-15 08:40:44 | 0.0.0.0:45333 | INFO ] 🎉 Round 32 of 100 finished.
[ 2026-02-15 08:40:44 | 0.0.0.0:45333 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 47
[ 2026-02-15 08:40:44 | 0.0.0.0:44055 | INFO ] 🎓 Training step done.
[ 2026-02-15 08:40:44 | 0.0.0.0:44055 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 08:40:44 | 0.0.0.0:44055 | INFO ] ✅ [FORCE] Local model added. (1/3)
[ 2026-02-15 08:40:44 | 0.0.0.0:45333 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-15 08:40:44 | 0.0.0.0:45333 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 08:40:44 | 0.0.0.0:45333 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-15 08:40:44 | 0.0.0.0:45333 | INFO ] 🎓 Training step done.
