[ 2026-03-06 14:03:48 | node_26 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.28256794810295105, 'test_acc': 0.9316770434379578, 'test_precision': 0.7969096899032593, 'test_recall': 0.7740602493286133, 'test_f1': 0.7834518551826477, 'communication_cost': 0}
[ 2026-03-06 14:03:48 | node_24 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.476674348115921, 'test_acc': 0.928909957408905, 'test_precision': 0.7421590089797974, 'test_recall': 0.7250657081604004, 'test_f1': 0.7309321761131287, 'communication_cost': 0}
[ 2026-03-06 14:03:48 | node_27 | INFO ] 🚂 Round 82: Client training...
[ 2026-03-06 14:03:48 | node_8 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:03:48 | node_18 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:03:48 | node_14 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:03:48 | node_25 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.1995265930891037, 'test_acc': 0.9422222375869751, 'test_precision': 0.7399648427963257, 'test_recall': 0.7310529947280884, 'test_f1': 0.7348271608352661, 'communication_cost': 0}
[ 2026-03-06 14:03:48 | node_23 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.4137648642063141, 'test_acc': 0.9548022747039795, 'test_precision': 0.7623198628425598, 'test_recall': 0.7430765628814697, 'test_f1': 0.7516396641731262, 'communication_cost': 0}
[ 2026-03-06 14:03:48 | node_5 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.3633982539176941, 'test_acc': 0.9476439952850342, 'test_precision': 0.8388829827308655, 'test_recall': 0.8115229606628418, 'test_f1': 0.8232218027114868, 'communication_cost': 0}
[ 2026-03-06 14:03:48 | node_10 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.07824152708053589, 'test_acc': 0.959770143032074, 'test_precision': 0.7778762578964233, 'test_recall': 0.7651314735412598, 'test_f1': 0.7705802321434021, 'communication_cost': 0}
