[ 2026-03-27 19:43:44 | node_11 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.004409655462950468, 'test_accuracy': 0.9881241321563721, 'test_precision': 0.18673449754714966, 'test_recall': 0.6273269057273865, 'test_f1': 0.2821354269981384, 'communication_cost': 182472}
[ 2026-03-27 19:43:44 | node_11 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-27 19:43:44 | node_25 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.004193499218672514, 'test_accuracy': 0.9895626902580261, 'test_precision': 0.26459628343582153, 'test_recall': 0.6965410709381104, 'test_f1': 0.37737226486206055, 'communication_cost': 182472}
[ 2026-03-27 19:43:44 | node_2 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.004822160117328167, 'test_accuracy': 0.9874943494796753, 'test_precision': 0.12239000201225281, 'test_recall': 0.43094485998153687, 'test_f1': 0.19019153714179993, 'communication_cost': 182472}
[ 2026-03-27 19:43:44 | node_2 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-27 19:43:44 | node_25 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-27 19:43:44 | node_6 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.003452853299677372, 'test_accuracy': 0.988034188747406, 'test_precision': 0.24067679047584534, 'test_recall': 0.7779894471168518, 'test_f1': 0.36542966961860657, 'communication_cost': 182472}
[ 2026-03-27 19:43:44 | node_6 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-27 19:43:44 | node_11 | INFO ] 🎉 Round 142 of 150 finished.
[ 2026-03-27 19:43:44 | node_2 | INFO ] 🎉 Round 142 of 150 finished.
[ 2026-03-27 19:43:44 | node_25 | INFO ] 🎉 Round 142 of 150 finished.
[ 2026-03-27 19:43:44 | node_11 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-27 19:43:45 | node_6 | INFO ] 🎉 Round 142 of 150 finished.
[ 2026-03-27 19:43:45 | node_2 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-27 19:43:45 | node_25 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-27 19:43:45 | node_4 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.005012576933950186, 'test_accuracy': 0.9925326108932495, 'test_precision': 0.3370208144187927, 'test_recall': 0.6688784956932068, 'test_f1': 0.44113683700561523, 'communication_cost': 182472}
[ 2026-03-27 19:43:45 | node_6 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
